Code,Year,Status,Value
7728551528,2024,Погашено,"map[Госпошлина, присужденная судом:map[ИП:[1006141/24/77033-ИП 1032745/24/77033-ИП 1112547/24/77033-ИП 111458/24/77033-ИП 1142049/24/77033-ИП 1149350/24/77033-ИП 1153130/24/77033-ИП 1162104/24/77033-ИП 1162883/24/77033-ИП 1163187/24/77033-ИП 1200021/24/77033-ИП 1201848/24/77033-ИП 120543/24/77033-ИП 120545/24/77033-ИП 120546/24/77033-ИП 1208553/24/77033-ИП 1210787/24/77033-ИП 1216908/24/77033-ИП 130673/24/77033-ИП 157710/24/54007-ИП 160683/24/77033-ИП 160684/24/77033-ИП 160685/24/77033-ИП 160741/24/77033-ИП 1666243/24/77033-ИП 1666309/24/77033-ИП 1680891/24/77033-ИП 1680892/24/77033-ИП 1691322/24/77033-ИП 1695988/24/77033-ИП 1696359/24/77033-ИП 2293/24/77033-ИП 26636/24/77033-ИП 27772/24/77033-ИП 27773/24/77033-ИП 328661/24/77035-ИП 56286/24/77033-ИП 64384/24/77033-ИП 84520/24/77033-ИП 85472/24/77006-ИП 85569/24/77033-ИП 86057/24/77006-ИП 971688/24/77033-ИП 978628/24/77033-ИП 993524/24/77033-ИП 996378/24/77033-ИП] Количество:46 Сумма:29933.09] Иной вид исполнения неимущественного характера:map[ИП:[1199287/24/77033-ИП] Количество:1 Сумма:0] Иные взыскания имущественного характера в пользу бюджетной системы Российской Федерации (иной администратор дохода с кодом главы по КБК, кроме 322):map[ИП:[1206380/24/77033-ИП] Количество:1 Сумма:0] Иные взыскания имущественного характера в пользу физических и юридических лиц:map[ИП:[1006794/24/77033-ИП 104574/24/77033-ИП 1073478/24/77033-ИП 1161159/24/77033-ИП 1201801/24/77033-ИП 1202845/24/77033-ИП 160328/24/77033-ИП 1666449/24/77033-ИП 1679401/24/77033-ИП 1681870/24/77033-ИП 1754312/24/77033-ИП 30678/24/77033-ИП 346273/24/54007-ИП 475330/24/64042-ИП 49963/24/77033-ИП 62169/24/77033-ИП 66220/24/77033-ИП 77812/24/77033-ИП 77815/24/77033-ИП 996917/24/77033-ИП] Количество:20 Сумма:39556] Исполнительский сбор:map[ИП:[1013576/24/77033-ИП 1066224/24/77033-ИП 1116275/24/77033-ИП 1711137/24/77033-ИП 1766348/24/77033-ИП 1766352/24/77033-ИП] Количество:6 Сумма:10000] Не указано:map[ИП:[1130541/24/77033-ИП 1130594/24/77033-ИП 285230/24/24016-ИП 3024613/24/77051-ИП 3244216/24/77051-ИП 3244219/24/77051-ИП] Количество:6 Сумма:0] Штраф ГИБДД:map[ИП:[2815497/24/77051-ИП 2851067/24/77051-ИП 2935322/24/77051-ИП 2935703/24/77051-ИП 2935713/24/77051-ИП 2957009/24/77051-ИП 2981923/24/77051-ИП 2982039/24/77051-ИП 2982280/24/77051-ИП 2983239/24/77051-ИП 2989610/24/77051-ИП 3010395/24/77051-ИП 3015099/24/77051-ИП 3060611/24/77051-ИП 3086311/24/77051-ИП 3086419/24/77051-ИП 3111975/24/77051-ИП 3127410/24/77051-ИП 3191482/24/77051-ИП 3212424/24/77051-ИП 3266155/24/77051-ИП] Количество:21 Сумма:0] Штраф иного органа:map[ИП:[1022777/24/77033-ИП 1030713/24/77033-ИП 1085153/24/77033-ИП 114621/24/77033-ИП 116773/24/77033-ИП 134795/24/77033-ИП 1723503/24/77033-ИП 2592991/24/77051-ИП 2794547/24/77051-ИП 2929038/24/77051-ИП 3110086/24/77051-ИП 3124377/24/77051-ИП 964643/24/77033-ИП] Количество:13 Сумма:10000]]"
7728551528,2024,Не завершено,[]
7728551528,2024,Завершено,[]
7728551528,2020,Погашено,"map[Госпошлина, присужденная судом:map[ИП:[100383/20/77033-ИП 100385/20/77033-ИП 100405/20/77033-ИП 101160/20/77033-ИП 138939/20/50006-ИП 82912/20/77033-ИП 83358/20/77033-ИП 83359/20/77033-ИП 83370/20/77033-ИП 83373/20/77033-ИП 83381/20/77033-ИП 83384/20/77033-ИП 83386/20/77033-ИП 83391/20/77033-ИП 83393/20/77033-ИП 83395/20/77033-ИП 83396/20/77033-ИП 83402/20/77033-ИП 83406/20/77033-ИП 83409/20/77033-ИП 83522/20/77033-ИП 83530/20/77033-ИП 83534/20/77033-ИП 88512/20/77033-ИП 91163/20/77033-ИП 91687/20/77033-ИП 96363/20/77033-ИП 96364/20/77033-ИП 96365/20/77033-ИП 96368/20/77033-ИП 96509/20/77033-ИП 96633/20/77033-ИП] Количество:32 Сумма:27519.92] Иные взыскания имущественного характера в пользу физических и юридических лиц:map[ИП:[56811/20/77033-ИП 65827/20/77033-ИП 65968/20/77033-ИП 67538/20/77033-ИП 67539/20/77033-ИП 93889/20/77033-ИП] Количество:6 Сумма:0]]"
7728551528,2020,Не завершено,[]
7728551528,2020,Завершено,[]
7728551528,2021,Завершено,[]
7728551528,2021,Погашено,"map[Госпошлина, присужденная судом:map[ИП:[109044/21/77033-ИП 117366/21/77033-ИП 117367/21/77033-ИП 123646/21/77033-ИП 149505/21/77033-ИП 15150/21/77033-ИП 15365/21/77033-ИП 155116/21/51002-ИП 158141/21/77033-ИП 16391/21/77033-ИП 16395/21/77033-ИП 16398/21/77033-ИП 16437/21/77033-ИП 16439/21/77033-ИП 16440/21/77033-ИП 16447/21/77033-ИП 16791/21/77033-ИП 17016/21/77033-ИП 17019/21/77033-ИП 18215/21/77033-ИП 18223/21/77033-ИП 18439/21/77033-ИП 21789/21/77033-ИП 32381/21/77033-ИП 32399/21/77033-ИП 32444/21/77033-ИП 54070/21/77033-ИП 54071/21/77033-ИП 54074/21/77033-ИП 54076/21/77033-ИП 54078/21/77033-ИП 54081/21/77033-ИП 54083/21/77033-ИП 54085/21/77033-ИП 54088/21/77033-ИП 54089/21/77033-ИП 54091/21/77033-ИП 54093/21/77033-ИП 54095/21/77033-ИП 62721/21/68023-ИП 63508/21/77033-ИП 63534/21/77033-ИП 63572/21/77033-ИП 63578/21/77033-ИП 63698/21/77033-ИП 65796/21/77006-ИП 75882/21/77033-ИП 77519/21/77033-ИП 81372/21/77033-ИП 81382/21/77033-ИП 81423/21/77033-ИП 81857/21/77033-ИП 81859/21/77033-ИП 81866/21/77033-ИП 81868/21/77033-ИП 81912/21/77033-ИП 81913/21/77033-ИП 81944/21/77033-ИП 86970/21/77033-ИП 87674/21/78024-ИП] Количество:60 Сумма:46386.77] Иные взыскания имущественного характера в пользу бюджетов Российской Федерации:map[ИП:[59880/21/77033-ИП] Количество:1 Сумма:134156.78] Иные взыскания имущественного характера в пользу физических и юридических лиц:map[ИП:[101546/21/77033-ИП 103293/21/77033-ИП 105950/21/77033-ИП 114435/21/77033-ИП 114534/21/77033-ИП 123596/21/77033-ИП 123895/21/77033-ИП 126394/21/77033-ИП 146879/21/77033-ИП 148459/21/77033-ИП 148886/21/77033-ИП 157143/21/77033-ИП 21930/21/77033-ИП 25504/21/77033-ИП 31190/21/77033-ИП 32449/21/77033-ИП 37587/21/77033-ИП 38609/21/77033-ИП 38628/21/77033-ИП 60071/21/77033-ИП 60414/21/77033-ИП 60840/21/77033-ИП 66495/21/77033-ИП 87405/21/77033-ИП 90825/21/77033-ИП] Количество:25 Сумма:52783.26] Исполнительский сбор:map[ИП:[121790/21/77033-ИП 142168/21/77033-ИП 142170/21/77033-ИП 143564/21/77033-ИП 149580/21/77033-ИП 149581/21/77033-ИП 149582/21/77033-ИП 24511/21/77033-ИП 24512/21/77033-ИП 24513/21/77033-ИП 29069/21/77033-ИП 29070/21/77033-ИП 29071/21/77033-ИП 29072/21/77033-ИП 29076/21/77033-ИП 29077/21/77033-ИП 29078/21/77033-ИП 29081/21/77033-ИП 38332/21/77033-ИП 47992/21/77033-ИП 61765/21/77033-ИП 61766/21/77033-ИП 61767/21/77033-ИП 64152/21/77033-ИП 66470/21/77035-ИП 75475/21/77033-ИП 79304/21/77033-ИП 79305/21/77033-ИП 86466/21/77033-ИП 91585/21/77033-ИП] Количество:30 Сумма:20000] Конфискация орудия совершения или предмета административного правонарушения, изъятие из оборота:map[ИП:[98468/21/50014-ИП] Количество:1 Сумма:0] Моральный вред как самостоятельное требование:map[ИП:[60616/21/77033-ИП] Количество:1 Сумма:0] Не указано:map[ИП:[121119/21/77033-ИП 49464/21/77033-ИП 5405707/21/77051-ИП 5546884/21/77051-ИП 5751267/21/77051-ИП] Количество:5 Сумма:0] Штраф ГИБДД:map[ИП:[472526/21/66063-ИП 54152/21/66063-ИП 5795039/21/77051-ИП 5795045/21/77051-ИП 5837150/21/77051-ИП 5893390/21/77051-ИП 5893412/21/77051-ИП 666825/21/66063-ИП] Количество:8 Сумма:500] Штраф иного органа:map[ИП:[130516/21/77033-ИП 132431/21/77033-ИП 134956/21/77033-ИП 5821205/21/77051-ИП 5832461/21/77051-ИП] Количество:5 Сумма:102000] Штраф как вид наказания по делам об АП, назначенный судом (за исключением дел по протоколам ФССП):map[ИП:[121202/21/15004-ИП 146183/21/77033-ИП 149521/21/77033-ИП 151714/21/77033-ИП 152598/21/77033-ИП 166610/21/77033-ИП 28745/21/77033-ИП] Количество:7 Сумма:260000]]"
7728551528,2021,Не завершено,[]
7728551528,2023,Завершено,[]
7728551528,2023,Погашено,"map[Госпошлина, присужденная судом:map[ИП:[100928/23/77033-ИП 100931/23/77033-ИП 100962/23/77033-ИП 101530/23/77033-ИП 104804/23/03001-ИП 11233/23/77033-ИП 119093/23/77033-ИП 119119/23/77033-ИП 119123/23/77033-ИП 119127/23/77033-ИП 119138/23/77033-ИП 119146/23/77033-ИП 119162/23/77033-ИП 119167/23/77033-ИП 119174/23/77033-ИП 121539/23/77033-ИП 145988/23/77056-ИП 147545/23/77033-ИП 147547/23/77033-ИП 147557/23/77033-ИП 147567/23/77033-ИП 162204/23/77006-ИП 167589/23/77033-ИП 1717865/23/77033-ИП 1718958/23/77033-ИП 1727285/23/77033-ИП 1735178/23/77033-ИП 1735213/23/77033-ИП 1746323/23/77033-ИП 1746327/23/77033-ИП 1746328/23/77033-ИП 1764175/23/77033-ИП 1765322/23/77033-ИП 1767425/23/77033-ИП 1791259/23/77033-ИП 189798/23/51001-ИП 222872/23/77006-ИП 234408/23/77035-ИП 23793/23/77033-ИП 23794/23/77033-ИП 253262/23/77035-ИП 307075/23/77033-ИП 307078/23/77033-ИП 307079/23/77033-ИП 35609/23/77033-ИП 35610/23/77033-ИП 35611/23/77033-ИП 43677/23/77033-ИП 43678/23/77033-ИП 43680/23/77033-ИП 43692/23/77033-ИП 43694/23/77033-ИП 43710/23/77033-ИП 43719/23/77033-ИП 45202/23/77033-ИП 45282/23/77033-ИП 45286/23/77033-ИП 46174/23/77033-ИП 46215/23/77033-ИП 47408/23/77033-ИП 56138/23/77033-ИП 56146/23/77033-ИП 56153/23/77033-ИП 62384/23/77033-ИП 62414/23/77033-ИП 82218/23/77033-ИП 82227/23/77033-ИП 89493/23/77033-ИП 89494/23/77033-ИП 90558/23/77033-ИП 92429/23/77033-ИП] Количество:71 Сумма:24980.69] Иные взыскания имущественного характера в пользу физических и юридических лиц:map[ИП:[101456/23/77033-ИП 103700/23/77033-ИП 11831/23/77033-ИП 131596/23/77033-ИП 131602/23/77033-ИП 131610/23/77033-ИП 136842/23/77033-ИП 136864/23/77033-ИП 138430/23/77033-ИП 147549/23/77033-ИП 1693277/24/77033-ИП 1727118/23/77033-ИП 1727119/23/77033-ИП 1734937/23/77033-ИП 1734940/23/77033-ИП 17496/23/77033-ИП 17512/23/77033-ИП 17515/23/77033-ИП 1756359/23/77033-ИП 1756373/23/77033-ИП 1778276/23/77033-ИП 17865/23/77033-ИП 1786816/23/77033-ИП 1786820/23/77033-ИП 1786832/23/77033-ИП 17877/23/77033-ИП 17951/23/77033-ИП 183810/23/77033-ИП 201900/23/51001-ИП 21023/23/77033-ИП 241393/23/77033-ИП 249423/23/77033-ИП 288063/23/77033-ИП 300851/23/77033-ИП 300876/23/77033-ИП 326882/23/70002-ИП 326882/23/70002-ИП 33557/23/86009-ИП 40790/23/77033-ИП 44524/23/77033-ИП 62587/23/77033-ИП 62599/23/77033-ИП 71844/23/77033-ИП 84646/23/77033-ИП 84691/23/77033-ИП 84751/23/77033-ИП 84765/23/77033-ИП 84769/23/77033-ИП] Количество:48 Сумма:233791.36] Исполнительский сбор:map[ИП:[11273/23/77033-ИП 134144/23/77033-ИП 137185/23/77033-ИП 137186/23/77033-ИП 160554/23/77033-ИП 16945/23/77033-ИП 1734589/23/77033-ИП 182829/23/77033-ИП 182832/23/77033-ИП 182861/23/77033-ИП 182863/23/77033-ИП 205493/23/29023-ИП 2267/23/77033-ИП 38195/23/77033-ИП 66966/23/77033-ИП 95532/23/77033-ИП] Количество:16 Сумма:0] Не указано:map[ИП:[37806/23/86009-ИП] Количество:1 Сумма:0] Расходы по судебным экcпертизам и экспертным исследованиям:map[ИП:[166068/23/29023-ИП] Количество:1 Сумма:10000] Штраф ГИБДД:map[ИП:[1428014/23/77051-ИП 1616200/23/77051-ИП 225140/23/61085-ИП 2337503/23/77051-ИП 2337505/23/77051-ИП 2425909/23/54001-ИП 2425912/23/54001-ИП 2425930/23/54001-ИП 2426006/23/54001-ИП 2427137/23/54001-ИП 256358/23/61085-ИП 256362/23/61085-ИП 528166/23/54046-ИП 528254/23/54046-ИП 528259/23/54046-ИП] Количество:15 Сумма:5000] Штраф иного органа:map[ИП:[1716581/23/77033-ИП 172954/23/77033-ИП 1745959/23/77033-ИП 1745971/23/77033-ИП 1745973/23/77033-ИП 210578/23/77033-ИП 2395794/23/77051-ИП] Количество:7 Сумма:50000] Штраф как вид наказания по делам об АП, назначенный судом (за исключением дел по протоколам ФССП России и постановлениям прокурора об АП, направленным в суд):map[ИП:[10479/23/77006-ИП] Количество:1 Сумма:0]]"
7728551528,2023,Не завершено,map[Исполнительский сбор:map[ИП:[182859/23/77033-ИП 182862/23/77033-ИП] Количество:2 Сумма:20000]]
7728551528,2025,Завершено,[]
7728551528,2025,Погашено,"map[Госпошлина, присужденная судом:map[ИП:[100210/25/77033-ИП 113551/25/61076-ИП 113890/25/77033-ИП 114931/25/77033-ИП 121578/25/77033-ИП 123535/25/77033-ИП 125080/25/77033-ИП 125278/25/77033-ИП 125355/25/77033-ИП 12754/25/77033-ИП 133117/25/77033-ИП 137801/25/77006-ИП 137802/25/77006-ИП 140438/25/77033-ИП 141739/25/77033-ИП 142446/25/77006-ИП 143727/25/77033-ИП 1639/25/77033-ИП 166667/25/77033-ИП 166670/25/77033-ИП 168334/25/77033-ИП 171036/25/77006-ИП 174567/25/77033-ИП 177464/25/77033-ИП 182107/25/77006-ИП 187769/25/86018-ИП 194927/25/44002-ИП 217375/25/77033-ИП 226248/25/77033-ИП 22879/25/77033-ИП 229505/25/77033-ИП 229682/25/77033-ИП 264069/25/77033-ИП 277793/25/77033-ИП 278003/25/77033-ИП 28238/25/77033-ИП 290152/25/77033-ИП 292947/25/77033-ИП 314587/25/77033-ИП 319208/25/77033-ИП 329348/25/77033-ИП 342444/25/77033-ИП 35697/25/77033-ИП 364474/25/77033-ИП 407379/25/77035-ИП 45958/25/77033-ИП 59637/25/77032-ИП 66218/25/77033-ИП 67721/25/77033-ИП 92263/25/77033-ИП 92379/25/77033-ИП 9239/25/77033-ИП 9271/25/77033-ИП 95425/25/77033-ИП 97785/25/77033-ИП 97889/24/77045-ИП] Количество:56 Сумма:189222.15] Иные взыскания имущественного характера в пользу бюджетной системы Российской Федерации (иной администратор дохода с кодом главы по КБК, кроме 322):map[ИП:[387619/25/77033-ИП] Количество:1 Сумма:10000] Иные взыскания имущественного характера в пользу физических и юридических лиц:map[ИП:[115726/25/77033-ИП 121391/25/77033-ИП 131531/25/77033-ИП 136876/25/77033-ИП 141769/25/77033-ИП 175359/25/77033-ИП 182728/25/77033-ИП 212215/25/77033-ИП 215744/25/77033-ИП 2166/25/77033-ИП 222425/25/77033-ИП 256886/25/77033-ИП 256887/25/77033-ИП 27225/25/77033-ИП 276040/25/77033-ИП 283324/25/77033-ИП 289927/25/78004-ИП 340321/25/77033-ИП 55103/25/77033-ИП 595496/25/26030-ИП 60133/25/66005-ИП 70290/25/77033-ИП 70303/25/77033-ИП 740648/25/77035-ИП 8568/25/77033-ИП] Количество:25 Сумма:161251.84] Исполнительский сбор:map[ИП:[122544/25/77033-ИП 127812/25/77033-ИП 164281/25/77033-ИП 253608/25/77033-ИП 253614/25/77033-ИП 253615/25/77033-ИП 26361/25/77033-ИП 310429/25/77033-ИП 319175/25/77033-ИП 33111/25/77033-ИП 336043/25/77033-ИП 365763/25/77033-ИП 367989/25/77033-ИП 367994/25/77033-ИП 382959/25/77033-ИП 64603/25/77033-ИП 75774/25/77033-ИП 87214/25/77033-ИП] Количество:18 Сумма:90000] Не указано:map[ИП:[323277/25/77033-ИП 333136/25/77033-ИП 357992/25/77033-ИП 387577/25/77033-ИП] Количество:4 Сумма:30000] Расходы по судебным экcпертизам и экспертным исследованиям:map[ИП:[368172/25/77033-ИП] Количество:1 Сумма:20000] Штраф ГИБДД:map[ИП:[3331489/25/77051-ИП 3331816/25/77051-ИП 3372623/25/77051-ИП 3393428/25/77051-ИП 3463586/25/77051-ИП 3493058/25/77051-ИП 3493070/25/77051-ИП 3499127/25/77051-ИП 3606305/25/77051-ИП 3606316/25/77051-ИП 59873/25/61085-ИП 60165/25/61085-ИП] Количество:12 Сумма:0] Штраф иного органа:map[ИП:[49028/25/77033-ИП] Количество:1 Сумма:0]]"
7728551528,2025,Не завершено,"map[Госпошлина, присужденная судом:map[ИП:[188876/25/44003-ИП 251181/25/77006-ИП 261415/25/54007-ИП 277899/25/77006-ИП 277900/25/77006-ИП 395163/25/77033-ИП 406641/25/77033-ИП 95201/25/77046-ИП] Количество:8 Сумма:70676.94] Иные взыскания имущественного характера в пользу физических и юридических лиц:map[ИП:[140148/25/54007-ИП 411264/25/77033-ИП] Количество:2 Сумма:14950] Исполнительский сбор:map[ИП:[415642/25/77033-ИП 415652/25/77033-ИП] Количество:2 Сумма:20000] Не указано:map[ИП:[405061/25/77033-ИП 405088/25/77033-ИП] Количество:2 Сумма:68837.6]]"
